municipio,total_vitima,total,PIB,ano
AMERICANA,77.0,272.0,10101729.317871915,2015
ANÁPOLIS,20.0,0.0,13301496.921320725,2015
APARECIDA DE GOIÂNIA,7.0,0.0,11518674.553700758,2015
ARACAJU,564.0,0.0,15672677.030783389,2015
ARAUCÁRIA,5.0,0.0,13952249.16864168,2015
BARUERI,113.0,484.0,47793106.28720241,2015
BAURU,151.0,615.0,12705639.745687786,2015
BELO HORIZONTE,1817.0,0.0,87364598.16827658,2015
BELÉM,1179.0,810.0,29280972.298398834,2015
BETIM,524.0,0.0,23904766.81262881,2015
BLUMENAU,156.0,141.0,15622352.54541339,2015
BRASÍLIA,2077.0,55.0,215613024.7607901,2015
CABO FRIO,316.0,210.0,10677333.216098774,2015
CAJAMAR,31.0,130.0,11584945.53180141,2015
CAMAÇARI,327.0,38.0,20374785.999310706,2015
CAMPINAS,548.0,1361.0,56400145.94241217,2015
CAMPO GRANDE,976.0,1573.0,24257415.46339701,2015
CAMPOS DOS GOYTACAZES,692.0,470.0,34216751.967594676,2015
CANOAS,419.0,0.0,16244020.902127512,2015
CASCAVEL,98.0,0.0,10125274.261356935,2015
CAXIAS DO SUL,403.0,0.0,20637191.756130114,2015
CONTAGEM,658.0,0.0,26016153.497381352,2015
COTIA,126.0,388.0,10639277.562123187,2015
CUBATÃO,183.0,153.0,15680010.049501494,2015
CUIABÁ,589.0,405.0,21220587.108323164,2015
CURITIBA,38.0,0.0,83864936.48870946,2015
DIADEMA,186.0,404.0,13854570.105836503,2015
DUQUE DE CAXIAS,1274.0,860.0,35114425.72040297,2015
EMBU DAS ARTES,116.0,253.0,9403920.298986716,2015
FEIRA DE SANTANA,573.0,224.0,11961846.458692629,2015
FLORIANÓPOLIS,216.0,414.0,18636407.20390222,2015
FORTALEZA,2907.0,0.0,57246034.486433215,2015
FOZ DO IGUAÇU,9.0,0.0,12000395.372154843,2015
GOIÂNIA,11.0,0.0,46632595.56713549,2015
GRAVATAÍ,289.0,0.0,9730603.904150635,2015
GUARULHOS,576.0,614.0,52199129.565104306,2015
HORTOLÂNDIA,118.0,261.0,10787568.444322344,2015
INDAIATUBA,68.0,263.0,12158900.854845958,2015
IPOJUCA,88.0,55.0,8764228.848515341,2015
ITAJAÍ,163.0,35.0,18855445.001578767,2015
ITAPEVI,174.0,234.0,10278995.462598873,2015
JABOATÃO DOS GUARARAPES,425.0,305.0,13257719.670791302,2015
JACAREÍ,128.0,396.0,10665065.79902959,2015
JAGUARIÚNA,25.0,82.0,8903620.62618358,2015
JOINVILLE,383.0,347.0,25599406.72186902,2015
JOÃO PESSOA,1261.0,0.0,18336935.907240197,2015
JUIZ DE FORA,415.0,0.0,14431961.99399598,2015
JUNDIAÍ,158.0,409.0,39717585.597010426,2015
LIMEIRA,116.0,562.0,11246499.727446856,2015
LONDRINA,7.0,0.0,17756527.00740569,2015
LOUVEIRA,15.0,55.0,11895643.237777246,2015
MACAPÁ,482.0,452.0,9085050.155410208,2015
MACAÉ,304.0,141.0,20849841.360636782,2015
MACEIÓ,905.0,525.0,20681597.209140684,2015
MANAUS,1668.0,1829.0,67066845.50316845,2015
MARICÁ,154.0,125.0,9574678.708135333,2015
MARINGÁ,13.0,0.0,15453047.222386338,2015
MAUÁ,153.0,323.0,12429673.249307152,2015
MOGI DAS CRUZES,264.0,651.0,14130976.300823385,2015
NATAL,829.0,0.0,20904275.537678603,2015
NITERÓI,411.0,809.0,25718732.54130426,2015
NOVA IGUAÇU,1008.0,1566.0,15948717.619195042,2015
OSASCO,356.0,724.0,65872535.111398,2015
PARAUAPEBAS,172.0,15.0,11208941.719009794,2015
PAULÍNIA,40.0,106.0,27060731.52944943,2015
PETRÓPOLIS,163.0,474.0,11221041.856546897,2015
PIRACICABA,236.0,732.0,21644883.951063078,2015
PONTA GROSSA,24.0,0.0,11805538.687354065,2015
PORTO ALEGRE,1934.0,0.0,68117224.43206346,2015
PORTO VELHO,685.0,1021.0,13946783.562595673,2015
RECIFE,980.0,939.0,48032462.96396168,2015
RIBEIRÃO PRETO,212.0,940.0,27809706.003746916,2015
RIO CLARO,115.0,337.0,8531051.23663598,2015
RIO DAS OSTRAS,162.0,108.0,8635755.256049821,2015
RIO DE JANEIRO,7674.0,6966.0,320774458.93556696,2015
SALVADOR,2205.0,1125.0,57872792.71628213,2015
SANTO ANDRÉ,228.0,653.0,26240884.88008973,2015
SANTOS,226.0,852.0,19965591.556048755,2015
SERRA,21.0,0.0,17791954.734537963,2015
SOROCABA,302.0,1154.0,30566793.47457865,2015
SUMARÉ,121.0,301.0,12663336.598419832,2015
SUZANO,145.0,422.0,10328166.63482743,2015
SÃO BERNARDO DO CAMPO,335.0,597.0,42745533.27529292,2015
SÃO CAETANO DO SUL,39.0,190.0,13302120.228359109,2015
SÃO CARLOS,122.0,305.0,9760682.712918738,2015
SÃO FRANCISCO DO CONDE,34.0,25.0,8646316.62285554,2015
SÃO GONÇALO,768.0,690.0,16571311.691701457,2015
SÃO JOSÉ,148.0,185.0,10055027.428441023,2015
SÃO JOSÉ DO RIO PRETO,252.0,840.0,14951112.16789857,2015
SÃO JOSÉ DOS CAMPOS,300.0,825.0,36398100.2539909,2015
SÃO JOSÉ DOS PINHAIS,23.0,0.0,22777412.4166015,2015
SÃO LUÍS,1238.0,502.0,26832481.035217322,2015
SÃO PAULO,4876.0,10560.0,650544788.7295586,2015
TAUBATÉ,203.0,400.0,14703591.832154509,2015
TERESINA,841.0,0.0,17627624.655260574,2015
UBERABA,216.0,0.0,12524596.246288873,2015
UBERLÂNDIA,402.0,0.0,29549557.71681984,2015
VILA VELHA,0.0,0.0,11116467.393268654,2015
VITÓRIA,1.0,0.0,23041070.413612038,2015
VOLTA REDONDA,137.0,277.0,10322954.652159506,2015
